OID,FID_,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,
0,0,2483,0.04310764,0,55.40000153,55.40000153,2.831236406,5.305152032,7029.959996,
1,1,8735,0.151649308,0,23.73999977,23.73999977,0.40549399,1.414254025,3541.989999,
2,2,9281,0.161128475,0,17.30999947,17.30999947,0.189965521,0.9729299,1763.070001,
3,3,12694,0.220381948,0,17.36000061,17.36000061,0.088500079,0.465160908,1123.42,
4,4,10958,0.190243059,0,25.36000061,25.36000061,0.116561416,0.867889965,1277.28,
5,5,8965,0.155642364,0,31.04999924,31.04999924,0.371934188,1.903664867,3334.389991,
6,6,7191,0.124843752,0,18.85000038,18.85000038,0.220894173,1.1560786,1588.450001,
7,7,12974,0.225243059,0,20.03000069,20.03000069,0.115540311,0.646344016,1499.020001,
8,8,10220,0.177430558,0,14.69999981,14.69999981,0.117201565,0.442698093,1197.799997,
9,9,2209,0.038350695,0.25,60.68999863,60.43999863,8.580647353,11.52382578,18954.65,
10,10,8280,0.143750002,0,31.32999992,31.32999992,0.318298309,1.59054992,2635.509997,
11,11,13513,0.234600698,0,26.95000076,26.95000076,0.348252054,1.217753868,4705.930006,
12,12,8847,0.153593752,0,13.75,13.75,0.268841415,0.696692617,2378.439995,
13,13,12611,0.218940976,0,45.18999863,45.18999863,0.790004757,2.972871669,9962.749989,
14,14,11808,0.205000003,0,24.78000069,24.78000069,0.375857892,1.290613077,4438.129994,
15,15,11529,0.200156253,0,23.14999962,23.14999962,0.220157863,0.774188306,2538.199998,
16,16,12017,0.208628476,0,35.97999954,35.97999954,0.436966797,2.293923075,5251.029997,
17,17,11245,0.195225698,0,35.45999908,35.45999908,0.631215652,2.527154894,7098.020002,
18,18,5771,0.100190974,0,31.56999969,31.56999969,0.531599377,1.855846741,3067.860003,
19,19,8491,0.147413197,0,19.34000015,19.34000015,0.712138735,1.26921196,6046.769999,
20,20,12885,0.22369792,0,45.43999863,45.43999863,0.377233217,2.177520486,4860.649998,
21,21,13189,0.228975698,0,44.02999878,44.02999878,0.41996588,1.549217697,5538.929998,
22,22,17421,0.302447922,0,12,12,0.106449687,0.493918572,1854.459998,
23,23,13872,0.240833337,0,34.52999878,34.52999878,0.49891508,2.335654438,6920.949989,
24,24,6464,0.112222224,0,25.01000023,25.01000023,0.250235148,1.184094777,1617.519998,
25,25,7948,0.137986113,0,15.90999985,15.90999985,0.041694766,0.392368583,331.3899995,
26,26,7635,0.132552085,0,76.23999786,76.23999786,2.277474789,6.668080982,17388.52001,
27,27,16701,0.289947921,0,52.72999954,52.72999954,0.296196635,1.661464218,4946.779999,
28,28,10872,0.188750003,0,23.44000053,23.44000053,0.440676048,1.250801364,4791.029994,
29,29,13121,0.227795143,0,30.36000061,30.36000061,0.276094047,1.344008449,3622.629996,
30,30,8266,0.143506947,0,27.88999939,27.88999939,0.662714734,1.744717784,5477.999995,
31,31,8708,0.151180558,0,36.65000153,36.65000153,0.634463711,2.352217267,5524.909997,
32,32,9719,0.168732642,0.02,70.90000153,70.88000153,0.628295093,2.308509434,6106.400009,
33,33,10780,0.187152781,0,29.90999985,29.90999985,0.293595547,1.289094276,3164.959999,
34,34,10006,0.173715281,0,42.43999863,42.43999863,1.366870878,4.219333266,13676.91001,
35,35,3581,0.06217014,0,56.40999985,56.40999985,0.986414411,3.991482531,3532.350005,
36,36,10270,0.178298614,0,27.62999916,27.62999916,0.314004869,1.520299916,3224.830001,
37,37,10358,0.179826392,0,39.61999893,39.61999893,0.454694921,2.079440441,4709.729991,
38,38,11041,0.191684031,0,72.26000214,72.26000214,0.585709628,2.736501382,6466.820006,
39,39,13087,0.227204865,0,53.25999832,53.25999832,1.193096968,3.839390189,15614.06002,
40,40,12497,0.216961809,0,54.02999878,54.02999878,1.451467552,5.053875665,18138.99,
41,41,12726,0.220937504,0,69.90000153,69.90000153,2.448329404,7.705886928,31157.44,
42,42,2847,0.049427084,0,81.88999939,81.88999939,17.36833159,16.50346301,49447.64004,
43,43,1586,0.027534723,0.150000006,64.87000275,64.72000274,4.361689792,7.503497173,6917.640009,
44,44,13504,0.234444448,0,653.9799805,653.9799805,1.048107967,9.620952801,14153.64998,
45,45,5985,0.103906252,0,52.29000092,52.29000092,0.959791143,2.54793117,5744.349989,
46,46,5789,0.100503474,0.02,41.40999985,41.38999985,2.408277768,4.314713244,13941.52,
47,47,11844,0.205625003,0,3.339999914,3.339999914,0.026562816,0.12919423,314.609998,
48,48,13380,0.23229167,0,11.31999969,11.31999969,0.117325859,0.496536336,1569.819996,
49,49,8519,0.147899308,0,3.910000086,3.910000086,0.047862425,0.18619858,407.7399989,
50,50,2900,0.050347223,0,48.22999954,48.22999954,1.298072414,3.85645727,3764.41,
51,51,11224,0.194861114,0,13.84000015,13.84000015,0.112056308,0.527553051,1257.720001,
52,52,4513,0.078350696,0,4.730000019,4.730000019,0.050155107,0.160822649,226.3499992,
53,53,20959,0.363871534,0,21.57999992,21.57999992,0.219768596,0.888129211,4606.129994,
54,54,11123,0.193107642,0,20.13999939,20.13999939,0.191561628,1.065732897,2130.739994,
55,55,21448,0.372361117,0,21.82999992,21.82999992,0.090608448,0.626914885,1943.369996,
56,56,19506,0.338645839,0,37.20000076,37.20000076,0.544468369,2.049382092,10620.4,
57,57,16313,0.28321181,0,20.82999992,20.82999992,0.191436891,0.939667378,3122.91,
58,58,11501,0.199670142,0,40.63000107,40.63000107,0.275149986,1.755495288,3164.499988,
59,59,8126,0.141076391,0,52.63999939,52.63999939,2.104707112,4.601042919,17102.84999,
60,60,1653,0.028697917,0.409999996,83.19000244,82.78000245,12.38420448,12.71822898,20471.09001,
61,61,6753,0.117239585,0.01,15.68000031,15.67000031,0.370992152,0.963407684,2505.310005,
62,62,11793,0.204739587,0,22.55999947,22.55999947,0.303459679,1.007049177,3578.699995,
