OID,FID_,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
0,0,2483,0.04310764,0.219999999,60.38999939,60.16999939,4.617128479,7.322317939,11464.33001
1,1,8735,0.151649308,0.129999995,28.54000092,28.41000092,0.772641099,1.965152539,6749.020001
2,2,9281,0.161128475,0.100000001,16.79000092,16.69000091,0.406371081,0.980299594,3771.530004
3,3,12694,0.220381948,0.079999998,22.79999924,22.71999924,0.356696077,0.75578227,4527.900001
4,4,10958,0.190243059,0.100000001,22.14999962,22.04999962,0.338484212,0.813989141,3709.109995
5,5,8965,0.155642364,0.109999999,40.40999985,40.29999985,0.751175683,2.510996296,6734.289994
6,6,7191,0.124843752,0.090000004,19.37999916,19.28999916,0.456131275,1.04706905,3280.039999
7,7,12974,0.225243059,0.100000001,15,14.9,0.307256821,0.589798566,3986.349998
8,8,10220,0.177430558,0.090000004,8.079999924,7.98999992,0.359136986,0.32734728,3670.380001
9,9,2209,0.038350695,0.629999995,76.80999756,76.17999756,11.38030783,11.28879011,25139.09999
10,10,8280,0.143750002,0.159999996,26.30999947,26.14999947,0.663855073,1.547418274,5496.720007
11,11,13513,0.234600698,0.170000002,33.02000046,32.85000046,0.759622586,1.856447451,10264.78
12,12,8847,0.153593752,0.159999996,36.77000046,36.61000046,0.631253533,1.369465003,5584.700005
13,13,12611,0.218940976,0.280000001,53.95000076,53.67000076,1.78101657,4.700553556,22460.39997
14,14,11808,0.205000003,0.270000011,44.38999939,44.11999938,0.934677336,2.307526694,11036.66998
15,15,11529,0.200156253,0.25999999,36.74000168,36.48000169,0.744130451,1.530687219,8579.079975
16,16,12017,0.208628476,0.219999999,51.77999878,51.55999878,1.085722724,3.033079017,13047.12998
17,17,11245,0.195225698,0.159999996,48.06000137,47.90000138,1.172966653,3.472311207,13190.01002
18,18,5771,0.100190974,0.180000007,45.88000107,45.70000106,1.000752035,2.520562131,5775.339996
19,19,8491,0.147413197,0.25,32.90000153,32.65000153,1.378213401,2.647404037,11702.40999
20,20,12885,0.22369792,0.159999996,83.91000366,83.75000367,1.052324409,3.642501945,13559.20001
21,21,13189,0.228975698,0.150000006,36.93999863,36.78999862,0.824877549,2.083836451,10879.31
22,22,17421,0.302447922,0.079999998,23.95000076,23.87000076,0.358873773,0.741057691,6251.939998
23,23,13872,0.240833337,0.109999999,44.34000015,44.23000015,0.686964388,2.063019613,9529.569992
24,24,6464,0.112222224,0.129999995,31.84000015,31.71000016,0.575923577,1.619582534,3722.77
25,25,7948,0.137986113,0.090000004,16.93000031,16.8400003,0.256264469,0.46733108,2036.79
