FID,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,CCN_3,CCA_3,TYPE_3,ENGTYPE_3,NL_NAME_3,VARNAME_3
0,49,CHN,China,1,Anhui,1,Anqing,1,Anqing,0, ,Xiànjíshì,County City, , 
1,49,CHN,China,1,Anhui,1,Anqing,2,Huaining,0, ,Xiàn,County,怀宁县,Huáiníng
2,49,CHN,China,1,Anhui,1,Anqing,3,Qianshan,0, ,Xiàn,County,潜山县,Qiánshān
3,49,CHN,China,1,Anhui,1,Anqing,4,Susong,0, ,Xiàn,County,宿松县,Sùsōng
4,49,CHN,China,1,Anhui,1,Anqing,5,Taihu,0, ,Xiàn,County,太湖县,Tàihú
5,49,CHN,China,1,Anhui,1,Anqing,6,Tongcheng,0, ,Xiànjíshì,County City,桐城市,Tóngchéng
6,49,CHN,China,1,Anhui,1,Anqing,7,Wangjiang,0, ,Xiàn,County,望江县,Wàngjiāng
7,49,CHN,China,1,Anhui,1,Anqing,8,Yuexi,0, ,Xiàn,County,岳西县,Yuèxī
8,49,CHN,China,1,Anhui,1,Anqing,9,Zongyang,0, ,Xiàn,County,枞阳县,Zōngyáng
9,49,CHN,China,1,Anhui,2,Bengbu,10,Bengbu,0, ,Xiànjíshì,County City, , 
10,49,CHN,China,1,Anhui,2,Bengbu,11,Guzhen,0, ,Xiàn,County,固镇县,Gùzhèn
11,49,CHN,China,1,Anhui,2,Bengbu,12,Huaiyuan,0, ,Xiàn,County,怀远县,Huáiyuǎn
12,49,CHN,China,1,Anhui,2,Bengbu,13,Wuhe,0, ,Xiàn,County,五河县,Wǔhé
13,49,CHN,China,1,Anhui,3,Bozhou,14,Boxian,0, ,Xiàn,County, , 
14,49,CHN,China,1,Anhui,3,Bozhou,15,Guoyang,0, ,Xiàn,County, , 
15,49,CHN,China,1,Anhui,3,Bozhou,16,Lixin,0, ,Xiàn,County,利辛县,Lìxīn
16,49,CHN,China,1,Anhui,3,Bozhou,17,Mengcheng,0, ,Xiàn,County,蒙城县,Méngchéng
17,49,CHN,China,1,Anhui,4,Chaohu,18,Chao,0, ,Xiàn,County, , 
18,49,CHN,China,1,Anhui,4,Chaohu,19,Hanshan,0, ,Xiàn,County,含山县,Hánshān
19,49,CHN,China,1,Anhui,4,Chaohu,20,He,0, ,Xiàn,County,和县,Hé
20,49,CHN,China,1,Anhui,4,Chaohu,21,Lujiang,0, ,Xiàn,County,庐江县,Lújiāng
21,49,CHN,China,1,Anhui,4,Chaohu,22,Wuwei,0, ,Xiàn,County,无为县,Wúwéi
